id_colonnina,nome_colonnina,latitudine,longitudine,quartiere_idQuartiere
85,Parri,44.512147392349696,11.353358535590543,31
81,Levante_I,44.4795677425814,11.38507390953432,34
77,Mazzini_I,44.48936290709702,11.35940582976347,32
82,Levante_II,44.47937218965805,11.385193149121747,34
91,Orti_II,44.47624162079627,11.37609044129954,32
93,Saragozza_I,44.49016122937364,11.32462617589072,35
92,Murri_I,44.48440745989066,11.35658715560829,32
80,Stalingrado_I,44.50693322789438,11.3551924689268,33
78,Massarenti_II,44.49300884795814,11.37056742338153,33
79,Murri_II,44.48418981668801,11.35719458905058,32
83,Ercolani,44.49378141713027,11.357107706852387,33
84,Zanardi_II,44.5082267800901,11.32964907760978,31
75,Sturzo_II,44.48820778081575,11.29599058158018,36
74,Stalingrado_II,44.50693322789438,11.3551924689268,33
76,Saragozza_II,44.49016122937364,11.32462617589072,35
95,Zanardi_I,44.50817288812807,11.32990298071598,31
96,Massarenti_I,44.49300884795814,11.37056742338153,33
94,Mazzini_II,44.48936290709702,11.35940582976347,32
86,Manzi,44.51374114563223,11.3228309791777,31
87,Sturzo_I,44.48813405746513,11.29621298616868,35
73,Sabotino,44.497199657497255,11.322137963427934,35
90,San Donato,44.512254255451175,11.385967638632419,33
89,Laura_Bassi,44.4855095914257,11.36916189698496,32
88,Orti_I,44.4764532079831,11.37616366060589,32
